1,Nguyễn Thị Oanh,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Nancy 2 - Pháp - 2010), Thạc sỹ (Viện Tin học Pháp ngữ - 2004), Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2001)","Thị giác máy tính, Truy vấn dựa trên nội dung","Phát hiện và nhận dạng đối tương, Nhận dạng hoạt động, Truy vấn thông tin đa phương tiện",18,4
33,Nguyễn Khanh Văn,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính - trường Đại học California-Davis, Mỹ - 2006), Thạc sỹ (Khoa học Máy tính - trường đại học Wollongong - Úc - 2000), Kỹ sư (Tin học - trường Đại học Bách khoa Hà Nội - 1992)","Mô hình-thuật toán mạng và tính toán phân tán: mạng thế-giới-nhỏ; đồ thị và thuật toán mạng (tập trung về định tuyến); mô hình cho mạng qui mô lớn (đồ thị ngẫu nhiên), Mạng máy tính: mạng cảm biến không dây; mạng liên kết; mạng đồng đẳng, An toàn thông tin: an toàn web, tấn công DoS, mật mã ứng dụng","Mô hình-thuật toán mạng và tính toán phân tán: mạng thế-giới-nhỏ; đồ thị và thuật toán mạng (tập trung về định tuyến); mô hình cho mạng qui mô lớn (đồ thị ngẫu nhiên), Mạng máy tính: mạng cảm biến không dây; mạng liên kết; mạng đồng đẳng, An toàn thông tin: an toàn web, tấn công DoS, mật mã ứng dụng",9,5
34,Nguyễn Khánh Phương,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Tổng hợp Montreal - Canada - 2014), Thạc sỹ (Trường Đại học Bách khoa Torino - Ý - 2005), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2004)","Các giải thuật và tối ưu hóa, Tính toán hiệu năng cao, Khoa học dữ liệu","Tính toán song song và phân tán, Tối ưu hóa tổ hợp, Các thuật toán tìm kiếm, Trí tuệ nhân tạo",6,0
35,Nguyễn Kiêm Hiếu,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Ulsan - 2013), Kỹ sữ (Trường Đại học Bách khoa Hà Nội - 2007)","Xử lý ngôn ngữ tự nhiên, Trích rút thông tin","Phân tích ngữ nghĩa, Trích rút sự kiện, Hệ hỏi – đáp, Xử lý ngôn ngữ tiếng Việt",10,0
36,Nguyễn Mạnh Tuấn,Công nghệ Phần mềm,"Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2016), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2007)","Web và dịch vụ web, An toàn và bảo mật thông tin, Trí tuệ kinh doanh, Đánh giá an toàn cho các hệ thống thông tin theo cấp độ","Công nghệ web và dịch vụ web, An toàn trong các ứng dụng web, Kinh doanh thông minh để khai thác dữ liệu và ảnh hưởng đến việc ra quyết định, Đánh giá an toàn cho các hệ thống thông tin theo cấp độ",1,0
37,Nguyễn Nhất Hải,Công nghệ Phần mềm,"Tiến sỹ (Công nghệ thông tin - tự động và xử lý tín hiệu - trường Đại học Bách khoa Grenoble - 2011), Thạc sỹ (Tin học - Toán ứng dụng - Đại học Joseph Fourier - Pháp - 2007), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2005)","Xử lý ngôn ngữ tự nhiên, Thị giác máy tính, Hệ thống phân tán (Blockchain), Mạng cảm biến không dây và mạng internet vạn vật","Xác định thực thể và mối liên hệ, Nhận diện hình ảnh, Hệ thống blockchain và ứng dụng",0,0
38,Nguyễn Nhật Quang,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - trường Đại học Trento - Ý - 2006), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2000), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 1997","Ứng dụng trí tuệ nhân tạo, Học máy, Các hệ thống gợi ý, Thị giác máy tính","Ứng dụng trí tuệ nhân tạo, Học máy và Học sâu, Thị giác máy tính, Các hệ thống gợi ý, Cá nhân hóa, Các dịch vụ di động thông minh, Dữ liệu lớn, Các công nghệ mã nguồn mở, Kiến trúc phần mềm",3,0
39,Nguyễn Phi Lê,Khoa học Máy tính,"Tiến sỹ (Công nghệ thông tin - Viện Tin học Quốc gia Nhật Bản - 2019), Thạc sỹ (Công nghệ thông tin - Đại học Tokyo - 2010), Kỹ sư (Công nghệ Thông tin - Đại học Tokyo - 2007)","Mạng cảm biến không dây và mạng internet vạn vật, Mạng MEC, Tối ưu hoá giao thức mạng, Tối ưu hoá việc triển khai mạng, Quản lý tài nguyên mạng, Học tăng cường","Tối ưu hoá giao thức định tuyến trong mạng cảm biến không dây, Tối ưu hoá triển khai mạng cảm biến không dây nhằm đảm bảo tính bao phủ và kết nối, Task offloading trong mạng MEC, Tối ưu hoá thời gian sống của mạng cảm biến không dây, Tối ưu hoá lập lịch trong mạng cảm biến không dây tự động sạc, Ứng dụng học máy trong tối ưu hoá và quản lý tài nguyên mạng",10,5
40,Nguyễn Thanh Hùng,Khoa học Máy tính,"Tiến sỹ (Khoa học máy tính - trường Đại học Bách khoa Quốc gia Grenoble - Pháp - 2010), Thạc sỹ (Khoa học máy tính - trường Đại học Bách khoa Quốc gia Grenoble - Pháp - 2006), Kỹ sư (trường Đại học Bách khoa Hà Nội - 2005)","Mô hình hoá, xây dựng, kiểm thử phần mềm, EduTech","Mô hình hoá, xây dựng, kiểm thử phần mềm, EduTech",0,1
41,Nguyễn Thị Kim Anh,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1994), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội)","Phân tích dữ liệu, Phát hiện tri thức từ các cơ sở dữ liệu lớn và mạng xã hội, Khai phá văn bản và Web","Kho dữ liệu và OLAP, Học sâu, Mô hình đồ thị, Phát hiện tri thức từ các cơ sở dữ liệu lớn và mạng xã hội, Khai phá văn bản và Web",13,0
42,Đỗ Tuấn Anh,Khoa học Máy tính,"Thạc sỹ (Công nghệ Thông tin, trường Đại học Bách khoa Hà Nội, 2008), Kỹ sư (Công nghệ Thông tin, trường Đại học Bách khoa Hà Nội, 2005)","Công nghệ chuỗi khối, Công nghệ trò chơi, Cơ sở dữ liệu, Hệ điều hành","Ứng dụng Công nghệ trong lĩnh vực Tài chính, Phân tích và xử lý dữ liệu trong lĩnh vực Tài chính, Tối ưu hóa Cơ sở dữ liệu, Công nghệ trò chơi, Hệ điều hành",0,0
43,Bành Thị Quỳnh Mai,Truyền thông và Mạng máy tính,"Thạc sỹ (Trường Đại học Kỹ thuật Swinburne, Úc, 2005), Kỹ sư (Trường Đại học Công nghệ, Sydney, Úc, 2003 )","Mạng máy tính, Truyền thông dữ liệu, Công nghệ web và Dịch vụ trực tuyến","Mạng cảm biến không dây, Internet vạn vật, Công nghệ web và Dịch vụ trực tuyến",3,0
44,Bùi Trọng Tùng,Khoa Kỹ thuật Máy tính,"Thạc sỹ (Trường đại học Bách khoa Hà Nội, 2010), Kỹ sư (Trường đại học Bách khoa Hà Nội)","Mạng máy tính, An toàn an ninh thông tin","Mạng thế hệ sau, An toàn an ninh hệ thống, An ninh mạng",3,0
45,Hoàng Văn Hiệp,Khoa Kỹ thuật Máy tính,"Tiến sỹ (Khoa học Máy tính, Học viện Kỹ thuật Shibaura, Japan, 2014), Thạc sỹ (Xử lý Thông tin và Truyền thông, trường Đại học Bách khoa Hà Nội, 2011), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội, 2007)","Các công nghệ định vị vệ tinh, Điều độ lưu lượng các mạng ngang hàng (Peer-to-peer), Hệ nhúng, IOT","Bộ thu mềm, Định vị chính xác, Giám sát hoạt động tầng điện ly, Cục bộ hóa lưu lượng ứng dụng peer-to-peer",10,2
46,Lã Thế Vinh,Khoa Kỹ thuật Máy tính,"Tiến sỹ (Kỹ thuật máy tính, trường Đại học Kyung Hee Hàn Quốc, 2012), Thạc sỹ (Xử lý thông tin và truyền thông, trường Đại học Bách khoa Hà nội, 2008), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội, 2004)","Xử lý tín hiệu số, Hệ thống nhúng và kết nối vạn vật, Các hệ thống định vị sử dụng vệ tinh","Các hệ thống nhúng thông minh, Các giải thuật định vị sử dụng vệ tinh độ chính xác cao, Xử lý tín hiệu vệ tinh định vị, Các dịch vụ ứng dụng sử dụng vị trí",5,0
47,Lê Bá Vui,Kỹ thuật Máy tính,"Thạc sỹ (Xử lý thông tin và truyền thông, trường Đại học Bách khoa Hà Nội, 2009), Kỹ sư (Kỹ thuật Máy tính, trường Đại học Bách khoa Hà Nội, 2007)","Xử lý tín hiệu, Máy học, Các hệ thống nhúng, Các ứng dụng di động","Nhận dạng tiếng nói, Nhận dạng cảm xúc từ tiếng nói, Xây dựng ứng dụng dựa trên hệ thống nhúng",3,0
48,Lê Xuân Thành,Khoa Kỹ thuật Máy tính,"Tiến sỹ (Khoa học Máy tính, trường Đại học Bách khoa Hà Nội, 2019), Thạc sỹ (Xử lý thông tin và truyền thông, trường Đại học Bách khoa Hà Nội, 2009), Kỹ sư (Điện tử – Viễn thông, trường Đại học Bách khoa Hà Nội, 2006)","Mạng máy tính, Xử lý tín hiệu, An toàn thông tin","Tổng hợp và nhận dạng tiếng nói, Tin Sinh học, Các phương thức bảo mật mạng",6,0
49,Nguyễn Hồng Quang,Kỹ thuật Máy tính,"Tiến sỹ (Công nghệ thông tin, trường Đại học Avignon, Cộng hòa Pháp, 2008), Thạc sỹ (Xử lý thông tin và truyền thông, trường Đại học Bách khoa Hà Nội, 2003), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội, 2000)","Học máy và học sâu, Nhận dạng tiếng nói, Tin sinh học","Nhận dạng tiếng Việt nói, Định danh dòng nhạc, Nhận dạng phương ngữ tiếng Việt, Phát hiện và phân loại bệnh ung thư, Phát hiện rối loạn nhịp tim, Phát hiện và phân loại các chuỗi sinh học, Thiết kế tự động hợp chất hóa học",6,0
50,Nguyễn Linh Giang,Kỹ thuật Máy tính,"Tiến sỹ (Khoa học Máy tính, Đại học Tổng hợp kỹ thuật Gruzia, Liên Xô, 1995), Thạc sỹ (Khoa học Máy tính, Đại học Tổng hợp kỹ thuật Gruzia, Liên Xô, 1991)","An ninh mạng, Xử lý và phân tích ảnh","Phát hiện và ngăn chặn xâm nhập mạng, Mật mã và mã hoá dựa trên thuộc tính, Xác thực sinh trắc, Học tăng cường và ứng dụng",7,0
51,Nguyễn Thị Hoàng Lan,Truyền thông và Mạng máy tính,"Tiến sỹ (Xử lý Tín hiệu – Ảnh – Tiếng nói và Truyền thông, Viện đại học Quốc gia Bách khoa Grenoble, France 1993), Thạc sỹ (Viện Đại học Quốc gia Bách khoa Grenoble, Pháp, 1989), Kỹ sư (Điện tử – Viễn thông, trường Đại học Bách khoa Hà Nội)","Xử lý ảnh, Mã hóa nén ảnh – video và truyền thông đa phương tiện, Phương pháp phân tách mù tín hiệu, phân tích các thành phần độc lập và xử lý tín hiệu, Nhận dạng sinh trắc. Hệ thống an ninh thông tin dựa trên sinh trắc học, Nhận dạng đối tượng","Xử lý ảnh, Mã hóa nén ảnh – video và truyền thông đa phương tiện, Phương pháp phân tách mù tín hiệu, phân tích các thành phần độc lập, Xử lý tín hiệu, Nhận dạng sinh trắc. Hệ thống an ninh thông tin dựa trên sinh trắc học, Phát hiện và nhận dạng đối tượng, Xử lý dữ liệu đa phương tiện, Công nghệ và ứng dụng Video Streaming",6,0
52,Nguyễn Đình Thuận,Kỹ thuật máy tính,"Tiến sỹ (Công nghệ định vị vệ tinh, Đại học Bách khoa Turin, Italy, 2019), Thạc sỹ (Công nghệ định vị vệ tinh, Đại học Bách khoa Turin, Italy, 2012), Kỹ sư (Kỹ thuật máy tính, Trường đại học Bách khoa Hà Nội, 2011)","Hệ nhúng thông minh và IoT, Xử lý tín hiệu số, Các hệ thống truyền thông điều khiển bằng phần mềm","Hệ thống nhúng thông minh và Internet vạn vật, Xử lý tín hiệu GNSS (Kiến trúc máy thu GNSS, Kiến trúc mô phỏng GNSS, Phát hiện và xác định nguồn  nhiễu, Các kỹ thuật xử lý dữ liệu với ăng ten mảng)",9,0
53,Nguyễn Đức Tiến,Kỹ thuật Máy tính,"Thạc sỹ (Xử lý thông tin và truyền thông, trường Đại học Bách khoa Hà Nội, 2007), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội, 2005)","Kiến trúc máy tính, Xử lý tiếng nói, Hệ thống nhúng, IoT","Xử lý tiếng nói tiếng Việt, Mạng máy tính và tường lửa, Đồng thiết kế phần cứng phần mềm",0,0
54,Nguyễn Đức Toàn,Truyền thông và Mạng máy tính,"Tiến sỹ (Khoa học Máy tính, Học viện Shibaura, Nhật Bản, 2017), Thạc sỹ (Điện tử – Viễn thông, trường Đại học Bách khoa Hà Nội, 2006), Kỹ sư (Điện tử – Viễn thông, trường Đại học Bách khoa Hà Nội, 2004)","Mạng điều khiển mềm, Đo hiệu năng mạng, Mạng thông minh, Mạng truyền thông bền vững","SDN: Chuyển mạng theo chiều dọc, ứng dụng trí tuệ nhân tạo trong điều khiển mạng, Đo tắc nghẽn mạng, đo lượng gói tin mất mát, Phân loại lưu lượng mạng, cấp băng thông theo yêu cầu của từng phần mềm, Chuyển mạng khi lỗi, chủ động định tuyến",8,0
55,Ngô Quỳnh Thu,Truyền thông và Mạng máy tính,"Tiến sỹ (Mạng viễn thông, Đại học Kỹ thuật Berlin, Đức,2003), Thạc sỹ (Kỹ thuật và Quản lý Mạng viễn thông, Viện quốc gia về Viễn thông, Evry, Pháp, 1996)","Giao thức truyền thông của Internet of Things, Mạng cảm biến không dây, Ứng dụng của Internet of Things trong các lĩnh vực khác nhau (nông nghiệp, thuỷ sản…)","Mạng vạn vật, Nông nghiệp, Thuỷ sản",10,1
56,Phạm Huy Hoàng,Truyền thông và Mạng máy tính,"Tiến sỹ (Khoa học Máy tính, Viện Nghiên cứu Quốc gia về Tin học và Tự động hóa, Pháp, 2002), Thạc sỹ (Viện Tin học Pháp ngữ, 1998), Kỹ sư (Trường Đại học Bách khoa Hà Nội, 1996)","Các kiến trúc mạng tiến tiến, Các nền tảng tương tác Web thế hệ mới","Mạng khả trình, Tôi ưu truyền thông multicast, Truyền thông đa kênh TCP, Web ngữ nghĩa",4,0
57,Phạm Ngọc Hưng,Kỹ thuật Máy tính,"Tiến sĩ (Kỹ thuật máy tính, Viện công nghệ Shibaura, Nhật Bản, 2017), Thạc sỹ (Xử lý thông tin và Truyền thông, trường Đại học Bách khoa Hà Nội, 2010), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội, 2008)","Hệ thống nhúng và Internet vạn vật, Học máy, học sâu","Hệ thống nhúng, các công nghệ và ứng dụng của Internet vạn vật, Học máy và học sâu với dữ liệu y tế.",8,0
58,Trương Thị Diệu Linh,Truyền thông và Mạng máy tính,"Tiến sỹ (Khoa học Máy tính, Đại học Montréal, Canada, 2007), Thạc sỹ (Khoa học Máy tính, Viện Tin học Pháp ngữ, Viêt Nam, 2001), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà Nội)","Tối ưu trong mạng, Mạng thế hệ mới","Các vấn đề tối ưu trên mạng: Thiết kế topology, Định tuyến, Mạng chịu lỗi, Mạng khả trình, Mạng quang không dây",7,0
59,Trần Hoàng Hải,Truyền thông và Mạng máy tính,"Tiến sỹ (Khoa học Máy tính, Viện nghiên cứu Quốc gia về Tin học và Tự động hoá INRIA, Pháp, 2012), Thạc sỹ (Kỹ thuật Máy tính, Đại học Kyunghee, Hàn Quốc, 2008), Kỹ sư (Công nghệ thông tin, trường Đại học Bách khoa Hà nội, 2004)","An ninh mạng, Định tuyến và bảo mật, Quản trị mạng, Điện toán đám mây và các dịch vụ, Tính toán biên trên mạng di động 5G","Hệ thống dò tìm xâm nhập, Định tuyến và bảo mật, Tối ưu hóa bài toán phân chia tài nguyên, Ứng dụng phương pháp định giá, lý thuyết trò chơi cho các bài toán network game",6,0
60,Trần Hải Anh,Kỹ thuật Máy tính,"Tiến sỹ (Mạng máy tính, trường Đại học Paris-Est Creteil, 2012), Thạc sỹ (Khoa học Máy tính, Đại học Paris-Sud Orsay, 2011), Kỹ sư (Khoa học Máy tính, trường Đại học Bách khoa Hà Nội, 2008)","Hệ phân tán, Mạng thế hệ mới, QoS-QoE, Mạng Internet vạn vật","Các công nghệ đồng bộ hóa trong Hệ Phân Tán, Sao lưu và thống nhất dữ liệu trong Hệ Phân Tán, Mạng khả trình, Tối ưu hóa trong các giải thuật lựa chọn máy chủ trong mạng phân tán dữ liệu",7,0
61,Trần Nguyên Ngọc,Truyền thông và Mạng máy tính,"Tiến sỹ (Công nghệ Thông tin, Đại học Công nghệ Sydney, Úc, 2019), Thạc sỹ Khoa học (Khoa học Máy tính, Đại học Bách khoa Hà Nội, 2010), Kỹ sư (Công nghệ Thông tin, Đại học Bách khoa Hà Nội, 2008)","Viễn thám, Xử lý ảnh vệ tinh và máy bay không người lái, Đáp ứng của hệ sinh thái với biến đổi khí hậu, Các ứng dụng của vệ tinh viễn thám địa tĩnh.","Dự án khí hậu KiC Fairwater; Tài trợ: Công ty CLIMATE-KIC Úc; Thời gian: 2018 – 2020; Vai trò: Nghiên cứu viên, Đề tài “Vệ tinh giám sát mối đe dọa đến mức khỏe đến từ phấn hoa của đồng cỏ”; Tài trợ: Hội đồng khoa học Úc; Thời gian: 2018 – 2020",5,0
62,Trần Quang Đức,Khoa Kỹ thuật Máy tính,"Tiến sỹ (Kỹ thuật Máy tính, trường Đại học Thành phố London, Anh, 2015), Thạc sỹ (Trường Đại học Bách khoa Budapest, 2008), Cử nhân (Trường Đại học Bách khoa Budapest)","Nhận dạng, Xử lý ảnh, An toàn an ninh thông tin","Hệ thống xác thực dựa trên sinh trắc học, Xử lý ảnh số, An ninh mạng, Bảo mật dữ liệu đa phương tiện",7,0
63,Trịnh Văn Chiến,Kỹ thuật máy tính,"Tiến sỹ (Đại học Linköping, vương quốc Thụy Điển, năm 2020), Thạc sỹ (Đại học Sungkyunkwan, Hàn Quốc, năm 2014), Đại học (Đại học Bách Khoa Hà Nội năm 2012)","Hệ thống truyền dẫn thông tin, Học máy, Xử lý tín hiệu, Bảo mật lớp vật lý","Các công nghệ tiên tiến cho mạng 5G/6G và các thế hệ mạng tiếp theo, Hệ thống thông tin vệ tinh, Ứng dụng của học máy cho hệ thống truyền dẫn thông tin và xử lý tín hiệu, Truyền thông ngữ nghĩa, Bảo mật lớp vật lý",10,2
64,Tống Văn Vạn,Khoa Kỹ thuật máy tính,"Tiến sỹ (Mạng máy tính, Trường Đại học Paris-Est Creteil, 2021), Kỹ sư (Công nghệ Thông tin, Chương trình kĩ sư tài năng, Trường Đại học Bách khoa Hà Nội, 2017)","Công nghệ chuỗi khối, an ninh mạng, mạng khả trình, học máy và chuẩn đoán sự cố mạng","Học cộng tác/Học chuyển giao trong mạng khả trình phân tán, Thuật toán đồng thuận trong công nghệ chuỗi khối, Phát hiện lỗ hổng trong các hợp đồng thông minh, Trí tuệ nhân tạo trong công nghệ chuỗi khối, Phân loại lưu lượng mạng mã hóa, Định tuyến phân đoạn hướng ứng dụng, Chuẩn đoán sự cố mạng sử dụng học sâu",8,1
65,Đặng Tuấn Linh,Truyền thông và Mạng máy tính,"Tiến sĩ (Đại học Công nghệ Kochi, Nhật bản, 2017), Thạc sĩ (Đại học Ritsumeikan, Nhật Bản, 2014), Thạc sĩ (Đại học Bách khoa Hà Nội, Việt Nam, 2012), Kỹ sư (Đại học Bách khoa Hà Nội, Việt Nam, 2011)","Trí tuệ nhân tạo, Hệ nhúng, Mạng máy tính","Phát hiện/nhận dạng đối tượng, Học máy, Thị giác máy tính, Đồng thiết kế phần cứng và phần mềm, FPGA, Ứng học học máy trong việc quản lý hiệu năng mạng",10,4
66,Đặng Văn Chuyết,Truyền thông và Mạng máy tính,"Tiến sỹ (Viện Đại học Bách khoa Grenoble, Pháp, 1986), Thạc sỹ (Viện Đại học Bách khoa Grenoble, Pháp, 1984), Kỹ sư (Trường Đại học Bách khoa Hà Nội, 1976)","Xử lý tiếng nói, Xử lý tín hiệu, Truyền thông và Mạng máy tính","Xử lý tiếng nói, Xử lý tín hiệu, Truyền thông và Mạng máy tính",1,0
67,Đỗ Công Thuần,Kỹ thuật máy tính,"Tiến sỹ Kỹ thuật Máy tính, Đại học Quốc gia Chonnam, Hàn Quốc, 2018, Thạc sỹ Kỹ thuật Máy tính, Đại học Quốc Gia Chonnam,Hàn Quốc, 2014, Kỹ sư Điện tử Viễn thông, Đại học Bách khoa Hà Nội, Việt Nam, 2012","Kiến trúc máy tính, Hệ thống nhúng và kết nối vạn vật, Công nghệ tích hợp 3D nguyên khối","CPU/GPGPU, Vi kiến trúc hiệu suất cao/công suất thấp, Vi xử lý đa lõi, Hệ nhúng thông minh, Vi kiến trúc dựa trên công nghệ tích hợp 3D nguyên khối, FPGA/ASIC",5,0
